Flux Density B (T),Frequency (Hz),Temperature (C),Power Loss PV (W/m³)
0.021443138,2000000,25,29286.44565
0.022057601,2000000,25,32235.42002
0.022689672,2000000,25,34807.00588
0.023450016,2000000,25,38311.8685
0.024121987,2000000,25,42169.65034
0.024930329,2000000,25,45533.74104
0.025765759,2000000,25,49166.20263
0.026379581,2000000,25,56234.13252
0.027263576,2000000,25,60720.21957
0.028443807,2000000,25,65564.18494
0.029396976,2000000,25,72166.11621
0.030525485,2000000,25,77923.17984
0.030959757,2000000,25,89125.09381
0.032452447,2000000,25,100000
0.033539947,2000000,25,107977.5162
0.034827499,2000000,25,118850.2227
0.036164479,2000000,25,128331.5186
0.037552783,2000000,25,138569.1863
0.038447409,2000000,25,155477.1842
0.039735804,2000000,25,171132.8304
0.041261206,2000000,25,184784.9797
0.042443566,2000000,25,207332.1573
0.044072915,2000000,25,219617.36
0.045549824,2000000,25,246414.7308
0.047076226,2000000,25,261015.7216
0.048883417,2000000,25,276481.8754
0.050284194,2000000,25,304321.9887
0.01009462,3000000,25,19952.62315
0.010432897,3000000,25,21961.736
0.010782509,3000000,25,23263.05067
0.011143837,3000000,25,25118.86432
0.011517274,3000000,25,27648.18754
0.011903224,3000000,25,29853.82619
0.012244317,3000000,25,32235.42002
0.012714359,3000000,25,34807.00588
0.01326476,3000000,25,38311.8685
0.01370927,3000000,25,41368.20402
0.014235549,3000000,25,45533.74104
0.014782032,3000000,25,49166.20263
0.015134187,3000000,25,55165.38668
0.015715168,3000000,25,58434.14134
0.016089553,3000000,25,64318.11877
0.016707208,3000000,25,68129.20691
0.017267077,3000000,25,72166.11621
0.017845706,3000000,25,77923.17984
0.018443726,3000000,25,84139.51416
0.019151756,3000000,25,92611.87281
0.019700558,3000000,25,101937.3486
0.020456835,3000000,25,107977.5162
0.021142356,3000000,25,118850.2227
0.021953981,3000000,25,128331.5186
0.022796764,3000000,25,138569.1863
0.023230212,3000000,25,155477.1842
0.02435023,3000000,25,164689.7865
0.02516622,3000000,25,181273.0881
0.02588737,3000000,25,203391.7501
0.026754871,3000000,25,215443.469
0.027651442,3000000,25,228209.2971
0.028848464,3000000,25,246414.7308
0.029815193,3000000,25,266072.506
0.030814318,3000000,25,292864.4565
0.031997237,3000000,25,316227.766
0.033225566,3000000,25,348070.0588
0.03417766,3000000,25,390541.0294
0.035322974,3000000,25,429866.2347
0.036164479,3000000,25,473151.259
0.037376371,3000000,25,520794.8329
0.038628875,3000000,25,551653.8668
0.039735804,3000000,25,607202.1957
0.040874452,3000000,25,668343.9176
0.042443566,3000000,25,735642.2545
0.043865874,3000000,25,794328.2347
0.045122871,3000000,25,857695.8986
0.046415888,3000000,25,944060.8763
0.04819773,3000000,25,1019373.486
0.050047974,3000000,25,1122018.454
0.010142265,5000000,25,135935.6391
0.010432897,5000000,25,146779.9268
0.010833401,5000000,25,158489.3192
0.011143837,5000000,25,171132.8304
0.011463169,5000000,25,184784.9797
0.011847307,5000000,25,195734.1781
0.012244317,5000000,25,211348.904
0.012595183,5000000,25,228209.2971
0.013078695,5000000,25,246414.7308
0.013453471,5000000,25,266072.506
0.013904305,5000000,25,287298.4833
0.014370246,5000000,25,310217.7665
0.014851802,5000000,25,334965.4392
0.015349494,5000000,25,354813.3892
0.015789341,5000000,25,398107.1706
0.016395472,5000000,25,413682.0402
0.016944894,5000000,25,455337.4104
0.017512727,5000000,25,491662.0263
0.018014563,5000000,25,530884.4442
0.018706117,5000000,25,573235.8369
0.019424219,5000000,25,618965.8189
0.019980829,5000000,25,681292.0691
0.020747865,5000000,25,749894.2093
0.021544347,5000000,25,794328.2347
0.022057601,5000000,25,891250.9381
0.022796764,5000000,25,962350.6264
0.023895884,5000000,25,1000000
0.024696649,5000000,25,1100694.171
0.02564472,5000000,25,1188502.227
0.026379581,5000000,25,1333521.432
0.027263576,5000000,25,1439903.321
0.028177195,5000000,25,1554771.842
0.028984625,5000000,25,1678804.018
0.029955917,5000000,25,1847849.797
0.031105883,5000000,25,1920141.939
0.032148259,5000000,25,2073321.573
0.033069483,5000000,25,2238721.139
0.034338974,5000000,25,2371373.706
0.035322974,5000000,25,2560550.428
0.036506667,5000000,25,2764818.754
0.037908108,5000000,25,2985382.619
0.039178431,5000000,25,3223542.002
0.040682436,5000000,25,3480700.588
0.042045728,5000000,25,3758374.043
0.043865874,5000000,25,4058198.942
0.045122871,5000000,25,4381942.422
0.046634965,5000000,25,4641588.834
0.04819773,5000000,25,5011872.336
0.050047974,5000000,25,5411695.265
